"","road_ID","Y","X"
"3327",3101021,37.5600008,127.0058396
"3719",3101021,37.5674556,127.0077695
"3924",3101021,37.5654129,127.0079704
"5018",3101021,37.5671514,127.0078384
"5565",3101021,37.5693501,127.0102658
"5795",3101021,37.5605746,127.005941
"5908",3101021,37.5602207,127.0058886
"6137",3101021,37.5597838,127.0047036
"6391",3101021,37.5649425,127.0079889
"963",2005001,37.5724606,126.9768853
"4156",2005001,37.5622092,126.976876
"4229",2005001,37.5631519,126.9747036
"5171",2005001,37.5626357,126.9755616
"66543",2005001,37.5687443,126.9766066
"1694",3101006,37.566904,126.9989611
"1785",3101006,37.5652938,127.0093497
"2111",3101006,37.5670818,127.0013886
"2350",3101006,37.5667603,126.9961799
"2761",3101006,37.5664818,127.0030006
"3336",3101006,37.5661411,126.9973952
"3717",3101006,37.5670514,126.9990359
"3853",3101006,37.5668893,126.9996476
"4026",3101006,37.5670244,126.9950177
"4331",3101006,37.5666138,126.9948414
"4487",3101006,37.5668533,126.9951337
"4669",3101006,37.5668963,126.9974821
"4698",3101006,37.566819,126.9967949
"5836",3101006,37.5658644,126.9949321
"5863",3101006,37.5660362,126.9909655
"5866",3101006,37.5669676,126.9994572
"6317",3101006,37.566948,126.9993764
"66860",3101006,37.5658597,126.9972234
"66910",3101006,37.565248,127.0095916
"67059",3101006,37.5663254,126.9988739
"2367",3101005,37.55998,126.9892293
"4009",3101005,37.5577295,126.9826331
"4287",3101005,37.5567379,126.985289
"66137",3101005,37.5589518,126.9870739
"66444",3101005,37.5568948,126.9851296
"255",3100020,37.6081775,126.9560297
"501",3100020,37.608115,126.9557656
"610",3100020,37.6068008,126.9602505
"625",3100020,37.6059988,126.9601917
"643",3100020,37.6045878,126.9617555
"694",3100020,37.6075695,126.9571584
"775",3100020,37.6066248,126.9560619
"844",3100020,37.6064462,126.960806
"845",3100020,37.606044,126.9610076
"1454",3100020,37.6057112,126.9609794
"1561",3100020,37.6069883,126.9579144
"1671",3100020,37.6084987,126.9572495
"1680",3100020,37.6080947,126.9577458
"2113",3100020,37.6063934,126.9598636
"2498",3100020,37.6078367,126.9568801
"2956",3100020,37.6042545,126.9617394
"31285",3100020,37.6031051,126.9216202
"32329",3100020,37.6085682,126.925092
"32428",3100020,37.6011186,126.9195897
"32616",3100020,37.6037712,126.9211238
"32875",3100020,37.6004117,126.9179315
"33037",3100020,37.6050158,126.9324925
"33079",3100020,37.6102457,126.9395895
"33325",3100020,37.6079385,126.923982
"33560",3100020,37.6058731,126.9221321
"33659",3100020,37.6073015,126.924491
"33660",3100020,37.607476,126.9248726
"33707",3100020,37.6002116,126.9177583
"33747",3100020,37.6091547,126.9264864
"33917",3100020,37.606991,126.9240899
"34078",3100020,37.6080745,126.9244421
"34829",3100020,37.6002071,126.917069
"35088",3100020,37.6022276,126.9203847
"35254",3100020,37.6111881,126.9381404
"35336",3100020,37.6012683,126.9206884
"35383",3100020,37.6110156,126.9422409
"38631",3100020,37.6063486,126.9224479
"66381",3100020,37.6064971,126.9607752
"66486",3100020,37.6062102,126.9600214
"68766",3100020,37.6074999,126.9250815
"332",3100023,37.6074457,126.9728514
"336",3100023,37.6065883,126.9719
"2559",3100023,37.6068388,126.9714322
"2568",3100023,37.6037166,126.963346
"2642",3100023,37.607043,126.9700082
"2643",3100023,37.6096659,126.9764546
"2871",3100023,37.6071688,126.971976
"4175",3100023,37.6061851,126.9697909
"4489",3100023,37.6076636,126.973905
"4768",3100023,37.6040068,126.962339
"4769",3100023,37.6043048,126.9644896
"4770",3100023,37.6055249,126.966411
"4771",3100023,37.606626,126.9688165
"66785",3100023,37.6036075,126.9624583
"11992",3005032,37.5881685,127.0566009
"12229",3005032,37.5909379,127.0666609
"12258",3005032,37.5882924,127.0631887
"13615",3005032,37.5992628,127.0991231
"14173",3005032,37.5893982,127.0586753
"15035",3005032,37.5960727,127.0832755
"15194",3005032,37.5956457,127.084111
"15524",3005032,37.5985089,127.094801
"15740",3005032,37.5907731,127.0653234
"15776",3005032,37.5886171,127.0565928
"16582",3005032,37.6008088,127.104231
"16583",3005032,37.5955671,127.0833327
"16673",3005032,37.6008184,127.1071764
"16674",3005032,37.6007729,127.1038119
"17108",3005032,37.5901778,127.0621
"17195",3005032,37.6009395,127.1054604
"17464",3005032,37.5934193,127.0734048
"17477",3005032,37.6001836,127.108114
"17706",3005032,37.6003773,127.1054109
"17862",3005032,37.5993019,127.0962877
"18045",3005032,37.5930513,127.0737588
"18049",3005032,37.5921392,127.0714789
"18351",3005032,37.5937398,127.0770177
