"","PARKING_CODE","PARKING_NAME","ADDR","CAPACITY","PAY_NM","LAT","LNG","RATES","TIME_RATE","ADD_RATES","ADD_TIME_RATE"
"676","1510531","맑은내길 노상공영주차장(구)","중구 신당동 213-0 0","17","유료","37.56876556","127.01218076","500","5","500","5"
"693","1556541","맛솜씨공영주차장(구)","중랑구 망우동 490-21","69","유료","37.59834229","127.09668449","250","5","250","5"
"762","1507084","망원 유료 주차장(구)","마포구 망원동 394-79","86","유료","37.55327949","126.90304026","150","5","150","5"
"853","172303","늘봄주차장(구)","중랑구 면목동 22-12","72","유료","37.58985533","127.09643555","100","5","100","5"
"854","172908","능골주차장(구)","양천구 신월동 152-38","61","유료","37.533186","126.82455218","50","5","50","5"
"8551","171830","다동공원 제4부지 공영주차장(구)","중구 다동 39-3","15","유료","37.56823533","126.98025108","400","5","400","5"
"856","1510828","다동쉼터 노상공영주차장(구)","중구 다동 46-0 0","7","유료","37.56794477","126.98004106","600","5","600","5"
"863","172928","다락골주차장(구)","양천구 신정동 1158-1","102","유료","37.51614281","126.84966724","50","5","50","5"
"864","1415929","다목적 공영주차장(구)","금천구 독산동 971-0","46","유료","37.47633196","126.9018971","65","5","65","5"
"865","171941","다산동 공영주차장(구)","중구 신당동 432-1584","86","유료","37.55454233","127.00852431","150","5","150","5"
"866","1424206","다산아트공영주차장(구)","중구 신당동 432-612","76","유료","37.55167324","127.0047041","150","5","150","5"
"867","172941","달마을주차장(구)","양천구 목동 532-18","30","유료","37.54437302","126.87163762","50","5","50","5"
"868","1370506","답십리 부품상가 노상(구)","동대문구 답십리동 959-10","75","유료","37.56549705","127.05980409","500","10","500","10"
"943","172892","당곡주차장(구)","양천구 신월동 482-11","45","유료","37.52437054","126.84509862","50","5","50","5"
"9441","1366869","당곡중학교공영 (지하주차장)(구)","관악구 봉천동 682-0","159","유료","37.49190539","126.93300345","50","5","50","5"
"9451","173193","당산1동공영(구)","영등포구 당산동3가 6-1","91","유료","37.52376124","126.8996074","100","5","100","5"
"9461","173208","당산2동(구)","영등포구 당산동 121-105","30","유료","37.52824898","126.90779447","150","5","150","5"
"947","1544852","당산고가 밑 이륜차 전용주차장(구)","영등포구 당산동5가 1-2","1","무료","37.53329412","126.90149297","0","0","0","0"
"948","1025696","당산근린공원지하공영(구)","영등포구 당산동3가 385-0","190","유료","37.52552609","126.89579413","150","5","150","5"
"9491","1506993","당인 유료 주차장(구)","마포구 합정동 362-1","46","유료","37.54752494","126.91827004","300","5","300","5"
"995","1524619","대륭1차~아톰(구)","금천구 가산동 345-48","34","유료","37.47190937","126.88252412","500","10","500","10"
"29","173250","대림1동공영(구)","영등포구 대림동 834-1","155","유료","37.49314103","126.90163365","100","5","100","5"
"30","173245","대림2동공영(구)","영등포구 대림동 1072-25","154","유료","37.49153125","126.89972706","50","5","50","5"
"31","173238","대림3동공영(구)","영등포구 대림동 745-1","105","유료","37.4980273","126.90049706","50","5","50","5"
"32","1509934","대림상가노상공영주차장(구)","중구 산림동 174-0 0","73","유료","37.56688694","126.99532129","500","5","500","5"
"105","173277","대림어린이공원지하공영(구)","영등포구 대림동 870-0","198","유료","37.49120884","126.90348861","100","5","100","5"
"1061","1025697","대림운동장(구)","영등포구 대림동 780-0","192","유료","37.49965667","126.89483844","50","5","50","5"
"107","173291","대방생태공영주차장(구)","동작구 대방동 395-1","36","유료","37.50018478","126.92629251","150","5","150","5"
"108","1551948","대신시장 노상주차장(구)","영등포구 신길동 116-15","15","유료","37.51079268","126.91720704","200","10","200","10"
"123","1561598","대신시장 노상주차장(구)","영등포구 신길동 116-15","18","유료","37.5118209","126.91730254","200","10","200","10"
"141","1441361","대왕초교(구)","강남구 세곡동 517-0","100","유료","37.46445115","127.10558271","100","5","100","5"
"142","172530","대지시장길 공영주차장(구)","강북구 미아동 703-8","47","유료","37.62016376","127.02031635","200","5","200","5"
"1431","173472","대청역(구)","강남구 개포동 13-2","169","유료","37.49495555","127.07932368","100","5","100","5"
"1441","173359","대치2문화센터(구)","강남구 대치동 980-9","159","유료","37.50227954","127.06420443","300","5","300","5"
"1451","1525783","덕성엔앰피(구)","금천구 가산동 345-15","27","유료","37.47263129","126.88357852","500","10","500","10"
"172","1247683","덕원주차장(구)","동대문구 장안동 458-8","77","유료","37.5623712","127.06876256","1000","30","300","10"
"173","173499","도곡로 327(구)","강남구 역삼동 765-22","22","유료","37.496258","127.05174035","400","5","400","5"
"174","173447","도곡로 421(구)","강남구 대치동 939-21","29","유료","37.49782255","127.05648634","400","5","400","5"
"175","1364466","도곡로21길7(구)","강남구 역삼동 795-25","78","유료","37.49250002","127.0388068","400","5","400","5"
"176","1441342","도곡초교(구)","강남구 대치동 924-10","200","유료","37.49906096","127.05468508","300","5","300","5"
"177","1548764","도림고가 노상주차장(구)","영등포구 문래동1가 39-0","63","유료","37.51499179","126.90352344","200","10","200","10"
"2401","173246","도림초등학교공영(구)","영등포구 신길동 285-1","145","유료","37.5081015","126.90745856","50","5","50","5"
"241","172592","도봉2동 법조타운 공영주차장(구)","도봉구 도봉동 624-105","164","유료","37.67364352","127.04646965","100","5","100","5"
"242","1372873","도봉산역 환승주차장(시)","도봉구 도봉동 288-19","364","유료","37.68972069","127.04483862","100","5","100","5"
"243","881056","도서관주차장(구)","양천구 목동 905-32","48","유료","37.53344049","126.87660968","150","5","150","5"
"244","172084","도선동(지하)(구)","성동구 홍익동 369-0","186","유료","37.565567","127.0316914","100","5","100","5"
"245","790441","도화 공영주차장(구)","마포구 도화동 557-0","65","유료","37.54155295","126.94993374","250","5","250","5"
