"","PARKING_CODE","PARKING_NAME","ADDR","CAPACITY","PAY_NM","LAT","LNG","RATES","TIME_RATE","ADD_RATES","ADD_TIME_RATE"
"786","1448769","경부제3녹지공영주차장(구)","영등포구 신길동 69-39","143","유료","37.51357817","126.92346995","100","5","100","5"
"787","1564128","경호빌딩앞 노상주차장(구)","영등포구 여의도동 25-0","10","유료","37.52364898","126.92595523","1000","10","1000","10"
"797","1576344","고분다리 전통시장 공영주차장(구)","강동구 천호동 280-9","26","유료","37.54304932","127.13222357","150","5","150","5"
"798","173104","고척1동마을공동주차장(구)","구로구 고척동 52-54","88","유료","37.50228329","126.86393268","100","5","100","5"
"799","1431448","고척근린공원지하주차장(시)","구로구 고척동 9-14","199","유료","37.50559235","126.85197253","150","5","150","5"
"800","781512","곰달래 문화복지센터 공영주차장(구)","강서구 화곡동 890-0","245","유료","37.52904612","126.84886082","100","5","100","5"
"801","1542843","곰달래로5길 노상(구)","양천구 신월동 126-36","74","유료","37.53399445","126.83229217","300","10","300","10"
"875","172965","곰달래주차장(구)","양천구 신월동 226-9","107","유료","37.52954694","126.83606909","50","5","50","5"
"876","172840","공덕1-1 공영주차장(구)","마포구 공덕동 11-243","81","유료","37.54738044","126.9609133","1000","60","500","30"
"877","173001","공항동(송정역)(시)","강서구 공항동 42-8","11","유료","37.56034439","126.81066489","150","5","150","5"
"878","1577118","관악신사시장 공영주차장(구)","관악구 신림동 494-37","13","유료","37.48671865","126.91728163","150","5","150","5"
"879","1277158","광운대입구(구)","성북구 장위동 135-1","18","유료","37.61714694","127.05625181","100","5","100","5"
"880","172498","광운대입구주차장(시)","성북구 장위동 135-4","18","유료","37.61703576","127.05620911","600","30","200","10"
"881","172936","광장주차장(구)","양천구 목동 907-19","42","유료","37.53545496","126.87938194","150","5","150","5"
"882","1247661","광진광장공영(구)","광진구 군자동 374-7","36","유료","37.54770648","127.07326955","250","5","250","5"
"883","1451404","광화문빌딩(구)","종로구 당주동 40-9","16","유료","37.57159097","126.97384239","1000","10","1000","10"
"899","173685","교대역동측주차장(구)","서초구 서초동 1673-7","32","유료","37.49383778","127.01550867","800","10","800","10"
"9001","1562530","교보생명 앞 노상주차장(구)","영등포구 당산동2가 71-0","26","유료","37.5216468","126.89161011","500","10","500","10"
"926","1551744","교보생명 앞 노상주차장(구)","영등포구 양평동1가 71-0","9","유료","37.52143768","126.89145923","500","10","500","10"
"935","1562399","교보생명옆 노상주차장(구)","영등포구 당산동2가 21-26","13","유료","37.52092673","126.8924706","300","10","300","10"
"948","172594","교통광장 공영주차장(구)","강북구 우이동 265-0","56","유료","37.66206284","127.00848322","200","5","200","5"
